;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
5107;Inaka Isha;3326;Movie;1;21 min.;Studio Deen;Other;Avant Garde,Drama;Historical,Psychological; PG-13 - Teens 13 or older  ;4198;6.68;N\A;2007
5108;Juubee Ninpuuchou: Ryuuhougyoku-hen;618;TV;13;24 min. per ep.;Madhouse;Original;Adventure,Horror,Supernatural;Martial Arts,Samurai; R - 17+ (violence & profanity)  ;3013;6.68;N\A;2003
5109;Kakegurui Picture Drama;38939;Special;3;2 min. per ep.;MAPPA;Manga;N\A;N\A; R - 17+ (violence & profanity)  ;3573;6.68;N\A;2017
5110;Kaze wo Mita Shounen;757;Movie;1;1 hr. 37 min.;Brain's Base;Book;Adventure,Drama,Fantasy;N\A; PG - Children  ;6941;6.68;N\A;2000
5111;Lostorage Incited WIXOSS;33197;TV;12;23 min. per ep.;J.C.Staff;Card;N\A;Game,Psychological; R - 17+ (violence & profanity)  ;2504;6.68;N\A;2016
5112;Lupin III: Lupin Ikka Seizoroi;13247;Special;1;10 min.;add some;Unknown;Adventure,Comedy;N\A; PG-13 - Teens 13 or older  ;8172;6.68;Seinen;2012
5113;Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu;27857;ONA;13;2 min. per ep.;Studio PuYUKAI;Light;N\A;N\A; PG-13 - Teens 13 or older  ;4587;6.68;N\A;2014
5114;Mao Yao de Huo Han;39767;ONA;20;17 min. per ep.;Tencent Animation & Comics;Digital;Fantasy,Romance;N\A; PG-13 - Teens 13 or older  ;12725;6.68;N\A;2018
5115;Mayoi Neko Overrun!;7590;TV;13;24 min. per ep.;AIC;Light;Comedy,Romance;N\A; PG-13 - Teens 13 or older  ;1374;6.68;N\A;2010
5116;30-sai no Hoken Taiiku;9624;TV;12;13 min. per ep.;Gathering;Book;Romance,Ecchi;N\A; R - 17+ (violence & profanity)  ;2363;6.67;Seinen;2011
5117;Ace wo Nerae!: Final Stage;312;OVA;12;24 min. per ep.;Tokyo Movie Shinsha;Manga;Action,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;9753;6.67;N\A;1989
5118;Aiura;17082;TV;12;4 min. per ep.;LIDENFILMS;4-koma;Comedy,Slice of Life;N\A; G - All Ages  ;1941;6.67;Shounen;2013
5119;Akage no Anne: Green Gables e no Michi;8950;Movie;1;1 hr. 39 min.;Nippon Animation;Novel;Adventure,Slice of Life;N\A; G - All Ages  ;8813;6.67;Shoujo;2010
5120;Amaenaide yo!! Katsu!!;886;TV;12;24 min. per ep.;Studio Deen;Manga;Comedy,Romance,Supernatural,Ecchi;N\A; R+ - Mild Nudity  ;2639;6.67;N\A;2006
5121;Bokura no Nanokakan Sensou;37828;Movie;1;1 hr. 27 min.;Ajia-Do;Novel;Action,Comedy,Drama;N\A; PG - Children  ;3800;6.67;N\A;2019
5122;Bokusatsu Tenshi Dokuro-chan 2;2131;OVA;2;26 min. per ep.;Hal Film Maker;Light;Comedy,Ecchi;N\A; R - 17+ (violence & profanity)  ;1686;6.67;N\A;2007
5123;Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara Picture Drama;32240;Special;1;9 min.;Sunrise;Unknown;Comedy,Ecchi;N\A; PG-13 - Teens 13 or older  ;5779;6.67;N\A;2015
